fused.ts,fused.H,fused.q[0],fused.q[1],fused.q[2],fused.q[3]
819,-27.40892,0.999916,0.012333,-0.004031,0.00005
880,-27.36536,0.999936,0.010675,-0.003876,0.000041
921,-27.338776,0.999949,0.009607,-0.003268,0.000031
983,-27.301186,1,-0.000831,0.000057,0
1044,-27.262791,0.999942,-0.001448,0.010687,0.000015
1085,-27.242592,0.999256,-0.001087,0.038559,0.000042
1147,-27.25983,0.998416,-0.006079,0.055931,0.000341
1188,-27.194454,0.997916,-0.018935,0.061681,0.00117
1250,-27.158016,0.998896,-0.011745,0.045479,0.000535
1311,-27.15542,0.999662,-0.006923,0.02507,0.000174
1352,-27.161285,0.999801,-0.006796,0.018739,0.000127
1414,-27.154842,0.999316,-0.004102,0.036741,0.000151
1454,-27.142876,0.997493,-0.01928,0.068074,0.001316
1516,-27.133623,0.993025,-0.058735,0.102053,0.006036
1577,-27.125118,0.985256,-0.110057,0.130182,0.014542
1618,-27.118223,0.981116,-0.143192,0.128665,0.018778
1680,-27.110569,0.984578,-0.140308,0.103456,0.014743
1721,-27.102682,0.988921,-0.120573,0.085952,0.01048
1782,-27.094152,0.989383,-0.119057,0.082753,0.009958
1824,-27.087473,0.988703,-0.127477,0.078195,0.010082
1884,-27.080633,0.987714,-0.141039,0.066619,0.009513
1946,-27.072208,0.987686,-0.147047,0.052829,0.007865
1988,-27.065372,0.988978,-0.141403,0.043456,0.006213
2049,-27.060299,0.990167,-0.130829,0.049112,0.006489
2111,-27.055473,0.98842,-0.137455,0.063672,0.008855
2151,-27.049915,0.986538,-0.148295,0.068162,0.010246
2213,-27.04229,0.990574,-0.123503,0.058795,0.00733
2254,-27.035084,0.99435,-0.092848,0.051232,0.004784
2315,-27.031849,0.995645,-0.083357,0.041595,0.003482
2356,-27.027296,0.996743,-0.069662,0.040535,0.002833
2418,-27.023111,0.997187,-0.064112,0.038745,0.002491
2479,-27.02071,0.996807,-0.067635,0.04235,0.002873
2521,-27.019403,0.99665,-0.063851,0.050993,0.003267
2582,-27.019201,0.99729,-0.053463,0.05047,0.002706
2623,-27.019485,0.997667,-0.043404,0.05264,0.00229
2685,-27.020388,0.998331,-0.035709,0.045356,0.001622
2746,-27.020912,0.99801,-0.028173,0.056388,0.001592
2787,-27.022635,0.997046,-0.032107,0.069732,0.002245
2849,-27.026119,0.996033,-0.044153,0.077181,0.003421
2890,-27.030102,0.996252,-0.04916,0.071085,0.003508
2951,-27.035297,0.9979,-0.045879,0.045678,0.0021
3013,-27.041376,0.999246,-0.023216,0.03109,0.001167
3054,-27.046812,0.999976,-0.003936,0.005544,0.000935
3116,-27.051149,0.99997,-0.007628,-0.000051,0.001012
3157,-27.054075,0.999896,-0.014087,-0.002946,0.00105
3218,-27.059025,0.99989,-0.014083,-0.004522,0.000711
3259,-27.067545,0.999945,-0.009765,-0.003839,0.000756
3321,-27.074968,0.99995,-0.009229,-0.003692,0.000651
3382,-27.080652,0.999972,-0.006616,-0.003454,0.000331
3423,-27.084171,0.999996,-0.00008,-0.00265,0.000204
3485,-27.089006,0.999997,0.000715,-0.002419,0.000046
3630,-27.096249,0.999996,0.000757,-0.002612,0.000144
3691,-27.096781,0.999996,0.00072,-0.002791,0.000025
3753,-27.097837,0.999996,0.000826,-0.002685,0.000041
3794,-27.098829,0.999996,0.001053,-0.002657,0.000005
3856,-27.099056,0.999996,0.001264,-0.002559,0.000035
3897,-27.09944,0.999996,0.001357,-0.002673,0.000034
3959,-27.099663,0.999995,0.001555,-0.002633,0.000055
4020,-27.100504,0.999995,0.001907,-0.002515,0.000005
4061,-27.101362,0.999995,0.001786,-0.002696,0.00006
4123,-27.100351,0.999995,0.002119,-0.002288,0.000103
4184,-27.097439,0.999995,0.00246,-0.001888,-0.000042
4246,-27.094711,0.999995,0.002346,-0.00199,0.000036
4288,-27.094374,0.999997,0.002453,-0.00092,-0.000088
4349,-27.094799,0.999988,0.001968,0.00439,-0.000035
4410,-27.093723,0.999971,0.001736,0.007424,-0.000047
4451,-27.092779,0.999961,0.002184,0.008608,-0.000194
4513,-27.091499,0.999936,0.002618,0.01101,-0.000321
4575,-27.092176,0.999886,0.002885,0.014815,-0.000605
4636,-27.091539,0.999941,0.003373,0.010284,-0.000326
4677,-27.090075,0.999987,0.002886,0.004275,0.000155
4739,-27.088875,0.999995,0.002814,-0.001274,-0.000128
